traffic_id,traffic_date,article_id,activeUsers,sessions,screenPageViews,screenPageViewsPerSession,screenPageViewsPerUser
121,2024-03-20,5554849,272,272,916,3.367647059,3.367647059
122,2024-03-20,5550137,267,277,842,3.039711191,3.153558052
123,2024-03-20,5554477,267,272,460,1.691176471,1.722846442
124,2024-03-20,5553105,262,267,821,3.074906367,3.133587786
125,2024-03-20,5553808,262,272,628,2.308823529,2.396946565
126,2024-03-20,5554498,256,277,460,1.660649819,1.796875
127,2024-03-20,5553473,251,256,795,3.10546875,3.167330677
128,2024-03-20,5554221,251,251,387,1.541832669,1.541832669
129,2024-03-20,5555148,251,251,455,1.812749004,1.812749004
130,2024-03-20,5552718,246,246,1198,4.869918699,4.869918699
131,2024-03-20,5554893,241,251,544,2.167330677,2.257261411
132,2024-03-20,5523515,235,267,283,1.059925094,1.204255319
133,2024-03-20,5552790,235,241,1402,5.817427386,5.965957447
134,2024-03-20,5552802,235,241,628,2.605809129,2.672340426
135,2024-03-20,5554279,235,241,743,3.082987552,3.161702128
136,2024-03-20,5555224,235,251,440,1.752988048,1.872340426
137,2024-03-20,5553545,230,246,1141,4.638211382,4.960869565
138,2024-03-20,5553003,225,246,471,1.914634146,2.093333333
139,2024-03-20,5555050,225,256,476,1.859375,2.115555556
140,2024-03-20,5530529,220,225,1073,4.768888889,4.877272727
141,2024-03-20,5553291,220,230,591,2.569565217,2.686363636
142,2024-03-20,5554425,220,225,518,2.302222222,2.354545455
143,2024-03-20,5553536,215,215,382,1.776744186,1.776744186
144,2024-03-20,5553579,215,246,649,2.638211382,3.018604651
145,2024-03-20,5553460,209,220,581,2.640909091,2.779904306
146,2024-03-20,5554266,209,220,235,1.068181818,1.124401914
147,2024-03-20,5552717,204,204,659,3.230392157,3.230392157
148,2024-03-20,5553526,204,215,795,3.697674419,3.897058824
149,2024-03-20,5553641,204,215,570,2.651162791,2.794117647
150,2024-03-20,5553710,204,225,576,2.56,2.823529412
151,2024-03-20,5554662,204,215,753,3.502325581,3.691176471
152,2024-03-20,5554232,194,199,565,2.83919598,2.912371134
153,2024-03-20,5554925,194,225,324,1.44,1.670103093
154,2024-03-20,5555285,194,199,330,1.658291457,1.701030928
155,2024-03-20,5553785,188,188,330,1.755319149,1.755319149
156,2024-03-20,5553802,188,194,382,1.969072165,2.031914894
157,2024-03-20,5555029,188,188,753,4.005319149,4.005319149
158,2024-03-20,5552798,183,199,288,1.447236181,1.573770492
159,2024-03-20,5553910,183,209,392,1.875598086,2.142076503
160,2024-03-20,5554160,183,199,785,3.944723618,4.289617486
161,2024-03-20,5521646,178,188,199,1.058510638,1.117977528
162,2024-03-20,5551897,178,183,1062,5.803278689,5.966292135
163,2024-03-20,5552903,178,215,403,1.874418605,2.264044944
164,2024-03-20,5554300,178,194,471,2.427835052,2.646067416
165,2024-03-20,5554637,178,178,565,3.174157303,3.174157303
166,2024-03-20,5554843,178,178,1266,7.112359551,7.112359551
167,2024-03-20,5555075,173,178,1031,5.792134831,5.959537572
168,2024-03-20,5555171,173,188,204,1.085106383,1.179190751
169,2024-03-20,5548925,167,188,612,3.255319149,3.664670659
170,2024-03-20,5554117,167,173,351,2.028901734,2.101796407
171,2024-03-20,5554264,167,178,1020,5.730337079,6.107784431
172,2024-03-20,5553555,162,162,450,2.777777778,2.777777778
173,2024-03-20,5553810,162,188,895,4.760638298,5.524691358
174,2024-03-20,5554948,162,167,481,2.880239521,2.969135802
175,2024-03-20,5554949,162,199,220,1.105527638,1.358024691
176,2024-03-20,5555136,162,173,309,1.786127168,1.907407407
177,2024-03-20,5552625,157,183,387,2.114754098,2.464968153
178,2024-03-20,5553694,157,162,570,3.518518519,3.630573248
179,2024-03-20,5553757,157,178,314,1.764044944,2
180,2024-03-20,5551636,152,152,372,2.447368421,2.447368421
181,2024-03-20,5552725,152,167,440,2.634730539,2.894736842
182,2024-03-20,5553568,152,157,361,2.299363057,2.375
183,2024-03-20,5554725,152,157,471,3,3.098684211
184,2024-03-20,5555121,147,157,256,1.630573248,1.741496599
185,2024-03-20,5552216,141,152,366,2.407894737,2.595744681
186,2024-03-20,5552943,141,162,225,1.388888889,1.595744681
187,2024-03-20,5553240,141,147,288,1.959183673,2.042553191
188,2024-03-20,5553576,141,157,429,2.732484076,3.042553191
189,2024-03-20,5554694,141,152,303,1.993421053,2.14893617
190,2024-03-20,5554601,136,141,445,3.156028369,3.272058824
191,2024-03-20,5554816,136,152,220,1.447368421,1.617647059
192,2024-03-20,5516769,131,167,398,2.383233533,3.038167939
193,2024-03-20,5549892,131,141,429,3.042553191,3.27480916
194,2024-03-20,5553951,131,131,392,2.992366412,2.992366412
195,2024-03-20,5554314,131,141,147,1.042553191,1.122137405
196,2024-03-20,5554406,131,136,523,3.845588235,3.992366412
197,2024-03-20,5554597,131,152,298,1.960526316,2.27480916
198,2024-03-20,5554650,131,136,665,4.889705882,5.076335878
199,2024-03-20,5554492,126,141,136,0.9645390071,1.079365079
200,2024-03-20,5555292,126,131,220,1.679389313,1.746031746
201,2024-03-20,5552088,120,120,356,2.966666667,2.966666667
202,2024-03-20,5553408,120,136,130,0.9632352941,1.091666667
203,2024-03-20,5553574,120,120,319,2.658333333,2.658333333
204,2024-03-20,5554052,120,126,225,1.785714286,1.875
205,2024-03-20,5554256,120,157,188,1.197452229,1.566666667
206,2024-03-20,5554851,120,136,204,1.5,1.7
207,2024-03-20,5554994,120,131,157,1.198473282,1.308333333
208,2024-03-20,5555231,120,126,235,1.865079365,1.958333333
209,2024-03-20,5555283,120,131,157,1.198473282,1.308333333
210,2024-03-20,5549900,115,131,120,0.9160305344,1.043478261
211,2024-03-20,5553284,115,126,351,2.785714286,3.052173913
212,2024-03-20,5554799,115,120,267,2.225,2.32173913
213,2024-03-20,5554955,115,115,628,5.460869565,5.460869565
214,2024-03-20,5555353,115,120,199,1.658333333,1.730434783
215,2024-03-20,5554182,110,120,691,5.758333333,6.281818182
216,2024-03-20,5554301,110,126,387,3.071428571,3.518181818
217,2024-03-20,5554319,110,126,141,1.119047619,1.281818182
218,2024-03-20,5554396,110,147,204,1.387755102,1.854545455
219,2024-03-20,5554583,110,110,539,4.9,4.9
220,2024-03-20,5554704,110,120,141,1.175,1.281818182
221,2024-03-20,5540842,105,110,162,1.472727273,1.542857143
222,2024-03-20,5553277,105,110,162,1.472727273,1.542857143
223,2024-03-20,5553962,105,126,256,2.031746032,2.438095238
224,2024-03-20,5554504,105,110,455,4.136363636,4.333333333
225,2024-03-20,5554622,105,115,335,2.913043478,3.19047619
226,2024-03-20,5554829,105,105,492,4.685714286,4.685714286
227,2024-03-20,5554883,105,105,136,1.295238095,1.295238095
228,2024-03-20,5555215,105,105,330,3.142857143,3.142857143
229,2024-03-20,5555240,105,105,147,1.4,1.4
230,2024-03-20,5551137,99,105,382,3.638095238,3.858585859
231,2024-03-20,5551493,99,99,225,2.272727273,2.272727273
232,2024-03-20,5552786,99,105,220,2.095238095,2.222222222
233,2024-03-20,5554309,99,105,272,2.59047619,2.747474747
234,2024-03-20,5554524,99,105,272,2.59047619,2.747474747
235,2024-03-20,5550914,94,105,152,1.447619048,1.617021277
236,2024-03-20,5552387,94,126,314,2.492063492,3.340425532
237,2024-03-20,5552554,94,105,131,1.247619048,1.393617021
238,2024-03-20,5552792,94,115,277,2.408695652,2.946808511
239,2024-03-20,5553068,94,94,303,3.223404255,3.223404255
240,2024-03-20,5553903,94,105,319,3.038095238,3.393617021
241,2024-03-20,5554099,94,105,110,1.047619048,1.170212766
242,2024-03-20,5554255,94,115,120,1.043478261,1.276595745
243,2024-03-20,5554261,94,94,167,1.776595745,1.776595745
244,2024-03-20,5554838,94,94,178,1.893617021,1.893617021
245,2024-03-20,5555027,94,99,413,4.171717172,4.393617021
246,2024-03-20,5555187,94,110,246,2.236363636,2.617021277
247,2024-03-20,5551876,89,136,241,1.772058824,2.707865169
248,2024-03-20,5552039,89,105,199,1.895238095,2.235955056
249,2024-03-20,5552093,89,99,136,1.373737374,1.528089888
250,2024-03-20,5552508,89,94,162,1.723404255,1.820224719
251,2024-03-20,5552621,89,105,115,1.095238095,1.292134831
252,2024-03-20,5553398,89,89,157,1.764044944,1.764044944
253,2024-03-20,5553441,89,115,194,1.686956522,2.179775281
254,2024-03-20,5553461,89,89,293,3.292134831,3.292134831
255,2024-03-20,5553593,89,99,476,4.808080808,5.348314607
256,2024-03-20,5554600,89,99,157,1.585858586,1.764044944
257,2024-03-20,5554695,89,94,157,1.670212766,1.764044944
258,2024-03-20,5554788,89,89,272,3.056179775,3.056179775
259,2024-03-20,5554823,89,99,392,3.95959596,4.404494382
260,2024-03-20,5554932,89,89,183,2.056179775,2.056179775
261,2024-03-20,5504720,84,89,215,2.415730337,2.55952381
262,2024-03-20,5548902,84,99,283,2.858585859,3.369047619
263,2024-03-20,5549725,84,89,225,2.528089888,2.678571429
264,2024-03-20,5552050,84,110,188,1.709090909,2.238095238
265,2024-03-20,5552502,84,99,162,1.636363636,1.928571429
266,2024-03-20,5554175,84,94,246,2.617021277,2.928571429
267,2024-03-20,5554549,84,89,215,2.415730337,2.55952381
268,2024-03-20,5554782,84,84,173,2.05952381,2.05952381
269,2024-03-20,5555256,84,84,277,3.297619048,3.297619048
270,2024-03-20,5548348,78,78,178,2.282051282,2.282051282
271,2024-03-20,5550726,78,89,277,3.112359551,3.551282051
272,2024-03-20,5552191,78,78,523,6.705128205,6.705128205
273,2024-03-20,5552534,78,78,220,2.820512821,2.820512821
274,2024-03-20,5553991,78,78,654,8.384615385,8.384615385
275,2024-03-20,5554073,78,84,303,3.607142857,3.884615385
276,2024-03-20,5554237,78,78,230,2.948717949,2.948717949
277,2024-03-20,5554263,78,78,194,2.487179487,2.487179487
278,2024-03-20,5554318,78,84,209,2.488095238,2.679487179
279,2024-03-20,5554335,78,78,267,3.423076923,3.423076923
280,2024-03-20,5554428,78,89,314,3.528089888,4.025641026
281,2024-03-20,5554460,78,94,152,1.617021277,1.948717949
282,2024-03-20,5554603,78,84,272,3.238095238,3.487179487
283,2024-03-20,5554711,78,78,314,4.025641026,4.025641026
284,2024-03-20,5555149,78,78,272,3.487179487,3.487179487
285,2024-03-20,5538883,73,78,183,2.346153846,2.506849315
286,2024-03-20,5550715,73,73,188,2.575342466,2.575342466
287,2024-03-20,5551564,73,110,131,1.190909091,1.794520548
288,2024-03-20,5552327,73,73,209,2.863013699,2.863013699
289,2024-03-20,5553049,73,94,152,1.617021277,2.082191781
290,2024-03-20,5553301,73,78,131,1.679487179,1.794520548
291,2024-03-20,5553358,73,73,173,2.369863014,2.369863014
292,2024-03-20,5554241,73,84,199,2.369047619,2.726027397
293,2024-03-20,5555184,73,73,126,1.726027397,1.726027397
294,2024-03-20,5548732,68,68,471,6.926470588,6.926470588
295,2024-03-20,5550005,68,68,136,2,2
296,2024-03-20,5550274,68,94,230,2.446808511,3.382352941
297,2024-03-20,5550716,68,78,141,1.807692308,2.073529412
298,2024-03-20,5551061,68,73,157,2.150684932,2.308823529
299,2024-03-20,5552275,68,73,356,4.876712329,5.235294118
300,2024-03-20,5552510,68,68,152,2.235294118,2.235294118
301,2024-03-20,5552959,68,68,178,2.617647059,2.617647059
302,2024-03-20,5553314,68,68,141,2.073529412,2.073529412
303,2024-03-20,5553485,68,84,115,1.369047619,1.691176471
304,2024-03-20,5553821,68,84,235,2.797619048,3.455882353
305,2024-03-20,5553880,68,84,220,2.619047619,3.235294118
306,2024-03-20,5554183,68,78,105,1.346153846,1.544117647
307,2024-03-20,5554437,68,73,167,2.287671233,2.455882353
308,2024-03-20,5554878,68,68,178,2.617647059,2.617647059
309,2024-03-20,5554899,68,68,162,2.382352941,2.382352941
310,2024-03-20,5554936,68,68,167,2.455882353,2.455882353
311,2024-03-20,5555151,68,73,215,2.945205479,3.161764706
312,2024-03-20,5555366,68,68,173,2.544117647,2.544117647
313,2024-03-20,5496676,63,68,215,3.161764706,3.412698413
314,2024-03-20,5547350,63,73,262,3.589041096,4.158730159
315,2024-03-20,5549724,63,63,105,1.666666667,1.666666667
316,2024-03-20,5550334,63,73,120,1.643835616,1.904761905
317,2024-03-20,5550378,63,68,105,1.544117647,1.666666667
318,2024-03-20,5551675,63,63,147,2.333333333,2.333333333
319,2024-03-20,5551830,63,63,220,3.492063492,3.492063492
320,2024-03-20,5551927,63,63,194,3.079365079,3.079365079
321,2024-03-20,5552799,63,73,162,2.219178082,2.571428571
322,2024-03-20,5552837,63,68,131,1.926470588,2.079365079
323,2024-03-20,5552949,63,63,188,2.984126984,2.984126984
324,2024-03-20,5553064,63,63,152,2.412698413,2.412698413
325,2024-03-20,5553826,63,63,178,2.825396825,2.825396825
326,2024-03-20,5554250,63,68,178,2.617647059,2.825396825
327,2024-03-20,5554323,63,63,204,3.238095238,3.238095238
328,2024-03-20,5554331,63,73,141,1.931506849,2.238095238
329,2024-03-20,5554491,63,68,178,2.617647059,2.825396825
330,2024-03-20,5554570,63,63,361,5.73015873,5.73015873
331,2024-03-20,5554801,63,63,225,3.571428571,3.571428571
332,2024-03-20,5543749,58,58,136,2.344827586,2.344827586
333,2024-03-20,5545448,58,63,136,2.158730159,2.344827586
334,2024-03-20,5548281,58,58,147,2.534482759,2.534482759
335,2024-03-20,5551555,58,63,110,1.746031746,1.896551724
336,2024-03-20,5552090,58,58,188,3.24137931,3.24137931
337,2024-03-20,5552782,58,58,131,2.25862069,2.25862069
338,2024-03-20,5553221,58,73,147,2.01369863,2.534482759
339,2024-03-20,5553357,58,63,167,2.650793651,2.879310345
340,2024-03-20,5553384,58,63,120,1.904761905,2.068965517
341,2024-03-20,5553483,58,63,162,2.571428571,2.793103448
342,2024-03-20,5553744,58,58,126,2.172413793,2.172413793
343,2024-03-20,5553746,58,63,136,2.158730159,2.344827586
344,2024-03-20,5553893,58,63,220,3.492063492,3.793103448
345,2024-03-20,5554154,58,58,105,1.810344828,1.810344828
346,2024-03-20,5554322,58,58,147,2.534482759,2.534482759
347,2024-03-20,5554361,58,68,105,1.544117647,1.810344828
348,2024-03-20,5554483,58,68,105,1.544117647,1.810344828
349,2024-03-20,5554521,58,68,105,1.544117647,1.810344828
350,2024-03-20,5554527,58,78,162,2.076923077,2.793103448
351,2024-03-20,5554935,58,58,178,3.068965517,3.068965517
352,2024-03-20,5554967,58,73,110,1.506849315,1.896551724
353,2024-03-20,5495191,52,63,199,3.158730159,3.826923077
354,2024-03-20,5507441,52,68,178,2.617647059,3.423076923
355,2024-03-20,5539815,52,63,110,1.746031746,2.115384615
356,2024-03-20,5545499,52,52,288,5.538461538,5.538461538
357,2024-03-20,5547233,52,58,126,2.172413793,2.423076923
358,2024-03-20,5548708,52,52,241,4.634615385,4.634615385
359,2024-03-20,5551124,52,58,141,2.431034483,2.711538462
360,2024-03-20,5551556,52,52,136,2.615384615,2.615384615
361,2024-03-20,5552690,52,58,131,2.25862069,2.519230769
362,2024-03-20,5553071,52,63,152,2.412698413,2.923076923
363,2024-03-20,5553198,52,52,147,2.826923077,2.826923077
364,2024-03-20,5554164,52,52,183,3.519230769,3.519230769
365,2024-03-20,5554311,52,52,126,2.423076923,2.423076923
366,2024-03-20,5554500,52,58,162,2.793103448,3.115384615
367,2024-03-20,5554540,52,52,110,2.115384615,2.115384615
368,2024-03-20,5554934,52,52,126,2.423076923,2.423076923
369,2024-03-20,5554944,52,58,157,2.706896552,3.019230769
370,2024-03-20,5554971,52,52,136,2.615384615,2.615384615
371,2024-03-20,5538219,47,63,120,1.904761905,2.553191489
372,2024-03-20,5550948,47,52,105,2.019230769,2.234042553
373,2024-03-20,5551178,47,47,131,2.787234043,2.787234043
374,2024-03-20,5551319,47,52,215,4.134615385,4.574468085
375,2024-03-20,5551373,47,63,126,2,2.680851064
376,2024-03-20,5552286,47,47,303,6.446808511,6.446808511
377,2024-03-20,5552400,47,47,131,2.787234043,2.787234043
378,2024-03-20,5552656,47,47,167,3.553191489,3.553191489
379,2024-03-20,5553148,47,52,178,3.423076923,3.787234043
380,2024-03-20,5553323,47,47,225,4.787234043,4.787234043
381,2024-03-20,5553333,47,52,136,2.615384615,2.893617021
382,2024-03-20,5553934,47,47,152,3.234042553,3.234042553
383,2024-03-20,5553973,47,47,215,4.574468085,4.574468085
384,2024-03-20,5554006,47,47,157,3.340425532,3.340425532
385,2024-03-20,5554276,47,58,152,2.620689655,3.234042553
386,2024-03-20,5554354,47,47,215,4.574468085,4.574468085
387,2024-03-20,5554358,47,52,115,2.211538462,2.446808511
388,2024-03-20,5554409,47,89,167,1.876404494,3.553191489
389,2024-03-20,5555008,47,52,110,2.115384615,2.340425532
390,2024-03-20,5555233,47,47,126,2.680851064,2.680851064
391,2024-03-20,5555273,47,47,110,2.340425532,2.340425532
392,2024-03-20,5555325,47,47,136,2.893617021,2.893617021
393,2024-03-20,5498413,42,63,136,2.158730159,3.238095238
394,2024-03-20,5532989,42,42,131,3.119047619,3.119047619
395,2024-03-20,5535245,42,42,126,3,3
396,2024-03-20,5539137,42,42,120,2.857142857,2.857142857
397,2024-03-20,5551052,42,58,157,2.706896552,3.738095238
398,2024-03-20,5551719,42,52,288,5.538461538,6.857142857
399,2024-03-20,5552152,42,42,147,3.5,3.5
400,2024-03-20,5552261,42,47,110,2.340425532,2.619047619
401,2024-03-20,5552501,42,47,105,2.234042553,2.5
402,2024-03-20,5552735,42,42,204,4.857142857,4.857142857
403,2024-03-20,5552783,42,42,141,3.357142857,3.357142857
404,2024-03-20,5553065,42,42,157,3.738095238,3.738095238
405,2024-03-20,5553505,42,47,115,2.446808511,2.738095238
406,2024-03-20,5553811,42,47,115,2.446808511,2.738095238
407,2024-03-20,5554243,42,42,131,3.119047619,3.119047619
408,2024-03-20,5554332,42,52,126,2.423076923,3
409,2024-03-20,5554737,42,42,241,5.738095238,5.738095238
410,2024-03-20,5524683,37,37,262,7.081081081,7.081081081
411,2024-03-20,5542287,37,37,157,4.243243243,4.243243243
412,2024-03-20,5552143,37,37,105,2.837837838,2.837837838
413,2024-03-20,5552419,37,37,110,2.972972973,2.972972973
414,2024-03-20,5552706,37,37,105,2.837837838,2.837837838
415,2024-03-20,5552722,37,37,115,3.108108108,3.108108108
416,2024-03-20,5552948,37,42,115,2.738095238,3.108108108
417,2024-03-20,5553115,37,47,147,3.127659574,3.972972973
418,2024-03-20,5553966,37,37,105,2.837837838,2.837837838
419,2024-03-20,5554305,37,37,136,3.675675676,3.675675676
420,2024-03-20,5554486,37,37,115,3.108108108,3.108108108
421,2024-03-20,5554652,37,37,136,3.675675676,3.675675676
422,2024-03-20,5554993,37,37,235,6.351351351,6.351351351
423,2024-03-20,5551031,31,37,115,3.108108108,3.709677419
424,2024-03-20,5551446,31,47,131,2.787234043,4.225806452
425,2024-03-20,5551800,31,47,162,3.446808511,5.225806452
426,2024-03-20,5553566,31,31,194,6.258064516,6.258064516
427,2024-03-20,5539495,26,37,110,2.972972973,4.230769231
428,2024-03-20,5547529,26,31,120,3.870967742,4.615384615
429,2024-03-20,5548229,26,26,157,6.038461538,6.038461538
430,2024-03-20,5548613,26,26,115,4.423076923,4.423076923
431,2024-03-20,5550997,26,26,235,9.038461538,9.038461538
432,2024-03-20,5552768,26,26,105,4.038461538,4.038461538
433,2024-03-20,5553577,26,26,141,5.423076923,5.423076923
434,2024-03-20,5554325,26,37,105,2.837837838,4.038461538
435,2024-03-20,5554674,26,26,162,6.230769231,6.230769231
436,2024-03-20,5554826,26,26,105,4.038461538,4.038461538
437,2024-03-20,5555080,26,26,157,6.038461538,6.038461538
438,2024-03-20,5555153,26,26,110,4.230769231,4.230769231
439,2024-03-20,5523026,21,21,120,5.714285714,5.714285714
440,2024-03-20,5526453,21,21,183,8.714285714,8.714285714
441,2024-03-20,5533952,21,26,126,4.846153846,6
442,2024-03-20,5537784,21,26,105,4.038461538,5
443,2024-03-20,5537961,21,26,110,4.230769231,5.238095238
444,2024-03-20,5546459,21,21,126,6,6
445,2024-03-20,5552807,21,21,162,7.714285714,7.714285714
